tag,final_theta,mean_R,median_energy,final_policy_gap
K_high,0.28556252932794896,0.7007692676670768,0.10080841562998391,0.2471445008788662
K_low,0.20651125248916755,0.2337051394116533,0.10061693289566392,0.22210060396833406
base,0.2699713586480651,0.4008756097617558,0.10125026114533398,0.20194401113778962
particles_high,0.23120866650050376,0.32189941659974447,0.10218219921855987,0.2380732390396206
theta_neg,0.13155090633870498,0.3933694428417826,0.10074445387859673,0.22215941991848895
theta_pos,0.3182866006218464,0.3841992981911444,0.10064001617064557,0.22982812009344575
